timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:31:29.129580,2026-01-21,01:31:29,truck,ENTRY,682,59,61
2026-01-21T01:31:29.866872,2026-01-21,01:31:29,motorcycle,ENTRY,682,60,61
2026-01-21T01:31:30.471395,2026-01-21,01:31:30,motorcycle,EXIT,682,60,62
2026-01-21T01:31:32.351514,2026-01-21,01:31:32,car,ENTRY,684,61,62
2026-01-21T01:31:35.503823,2026-01-21,01:31:35,motorcycle,EXIT,699,61,63
2026-01-21T01:31:35.839091,2026-01-21,01:31:35,bus,ENTRY,705,62,63
2026-01-21T01:31:36.579128,2026-01-21,01:31:36,truck,ENTRY,713,63,63
2026-01-21T01:31:36.849820,2026-01-21,01:31:36,truck,ENTRY,714,64,63
2026-01-21T01:31:37.519550,2026-01-21,01:31:37,truck,ENTRY,715,65,63
2026-01-21T01:31:38.924517,2026-01-21,01:31:38,bus,EXIT,719,65,64
2026-01-21T01:31:39.730526,2026-01-21,01:31:39,truck,EXIT,731,65,65
2026-01-21T01:31:41.139826,2026-01-21,01:31:41,motorcycle,EXIT,732,65,67
2026-01-21T01:31:41.141137,2026-01-21,01:31:41,motorcycle,EXIT,732,65,67
2026-01-21T01:31:42.142008,2026-01-21,01:31:42,bus,ENTRY,736,66,67
2026-01-21T01:31:42.611106,2026-01-21,01:31:42,car,ENTRY,736,67,67
2026-01-21T01:31:43.014198,2026-01-21,01:31:43,truck,ENTRY,737,68,67
2026-01-21T01:31:44.288746,2026-01-21,01:31:44,car,ENTRY,747,69,67
2026-01-21T01:31:46.908669,2026-01-21,01:31:46,motorcycle,EXIT,751,69,68
2026-01-21T01:31:47.978930,2026-01-21,01:31:47,truck,ENTRY,758,70,68
2026-01-21T01:31:51.798746,2026-01-21,01:31:51,motorcycle,ENTRY,763,71,68
2026-01-21T01:31:52.470134,2026-01-21,01:31:52,truck,ENTRY,763,72,68
2026-01-21T01:31:52.740201,2026-01-21,01:31:52,car,ENTRY,764,73,68
2026-01-21T01:31:53.945810,2026-01-21,01:31:53,motorcycle,EXIT,765,73,69
2026-01-21T01:31:54.149193,2026-01-21,01:31:54,car,EXIT,765,73,70
2026-01-21T01:31:55.493497,2026-01-21,01:31:55,car,ENTRY,777,74,70
2026-01-21T01:31:59.578392,2026-01-21,01:31:59,car,ENTRY,794,75,70
2026-01-21T01:32:01.121823,2026-01-21,01:32:01,car,ENTRY,797,76,70
2026-01-21T01:32:01.791265,2026-01-21,01:32:01,car,EXIT,797,76,71
2026-01-21T01:32:02.462918,2026-01-21,01:32:02,car,ENTRY,797,77,71
2026-01-21T01:32:04.814715,2026-01-21,01:32:04,car,ENTRY,821,78,71
2026-01-21T01:32:04.880189,2026-01-21,01:32:04,car,EXIT,822,78,72
2026-01-21T01:32:05.957322,2026-01-21,01:32:05,car,EXIT,829,78,73
2026-01-21T01:32:06.956944,2026-01-21,01:32:06,car,EXIT,830,78,74
2026-01-21T01:32:08.502122,2026-01-21,01:32:08,motorcycle,ENTRY,832,79,74
2026-01-21T01:32:08.704329,2026-01-21,01:32:08,motorcycle,ENTRY,833,81,74
2026-01-21T01:32:08.705777,2026-01-21,01:32:08,bus,ENTRY,833,81,74
2026-01-21T01:32:08.835929,2026-01-21,01:32:08,truck,ENTRY,833,82,74
2026-01-21T01:32:09.038693,2026-01-21,01:32:09,motorcycle,ENTRY,836,83,74
2026-01-21T01:32:09.642943,2026-01-21,01:32:09,motorcycle,EXIT,845,84,75
2026-01-21T01:32:09.644151,2026-01-21,01:32:09,motorcycle,ENTRY,845,84,75
2026-01-21T01:32:11.184414,2026-01-21,01:32:11,motorcycle,ENTRY,854,85,75
2026-01-21T01:32:12.659879,2026-01-21,01:32:12,motorcycle,ENTRY,871,86,75
2026-01-21T01:32:13.800589,2026-01-21,01:32:13,motorcycle,ENTRY,875,87,75
2026-01-21T01:32:14.819654,2026-01-21,01:32:14,car,EXIT,903,87,76
2026-01-21T01:32:15.018056,2026-01-21,01:32:15,car,EXIT,909,87,77
2026-01-21T01:32:16.691302,2026-01-21,01:32:16,car,EXIT,922,87,78
2026-01-21T01:32:17.092071,2026-01-21,01:32:17,bus,EXIT,922,87,79
2026-01-21T01:32:17.157663,2026-01-21,01:32:17,car,EXIT,923,87,80
2026-01-21T01:32:18.637852,2026-01-21,01:32:18,car,EXIT,944,87,81
2026-01-21T01:32:19.306002,2026-01-21,01:32:19,car,ENTRY,958,88,81
2026-01-21T01:32:19.642813,2026-01-21,01:32:19,truck,EXIT,963,88,82
2026-01-21T01:32:20.583896,2026-01-21,01:32:20,motorcycle,ENTRY,973,89,82
2026-01-21T01:32:21.786336,2026-01-21,01:32:21,truck,ENTRY,983,90,82
2026-01-21T01:32:23.060143,2026-01-21,01:32:23,car,ENTRY,987,91,82
2026-01-21T01:32:23.194575,2026-01-21,01:32:23,motorcycle,EXIT,989,91,83
2026-01-21T01:32:23.461992,2026-01-21,01:32:23,truck,ENTRY,995,92,83
2026-01-21T01:32:24.403333,2026-01-21,01:32:24,truck,EXIT,1010,92,84
2026-01-21T01:32:25.341866,2026-01-21,01:32:25,car,ENTRY,1017,93,84
2026-01-21T01:32:26.275779,2026-01-21,01:32:26,motorcycle,ENTRY,1018,94,84
2026-01-21T01:32:26.676483,2026-01-21,01:32:26,car,ENTRY,1024,95,84
2026-01-21T01:32:28.618414,2026-01-21,01:32:28,truck,EXIT,1036,95,85
2026-01-21T01:32:29.356534,2026-01-21,01:32:29,car,EXIT,1042,95,86
2026-01-21T01:32:31.302421,2026-01-21,01:32:31,car,ENTRY,1076,96,86
2026-01-21T01:32:33.314618,2026-01-21,01:32:33,bus,EXIT,1093,96,87
2026-01-21T01:32:33.715985,2026-01-21,01:32:33,truck,ENTRY,1093,97,87
2026-01-21T01:32:33.916110,2026-01-21,01:32:33,bus,EXIT,1093,97,88
2026-01-21T01:32:35.054432,2026-01-21,01:32:35,bus,EXIT,1094,97,89
2026-01-21T01:32:35.321656,2026-01-21,01:32:35,truck,ENTRY,1094,98,89
2026-01-21T01:32:36.731308,2026-01-21,01:32:36,bus,EXIT,1095,98,90
2026-01-21T01:32:39.012091,2026-01-21,01:32:39,motorcycle,EXIT,1100,98,91
2026-01-21T01:32:39.079320,2026-01-21,01:32:39,bus,ENTRY,1100,99,91
2026-01-21T01:32:41.290396,2026-01-21,01:32:41,car,EXIT,1104,99,92
